Authors,Title,Publication year,Pages,Page Count,ISBN,URLs,Abstract,Keywords
"Warin C,Reinhardt D",Vision: Usable Privacy for XR in the Era of the Metaverse,2022,111–116,5,9781450397001,https://doi.org/10.1145/3549015.3554212,"Extended Reality (XR) — an umbrella term for Augmented Reality (AR), Virtual Reality (VR) and Mixed Reality (MR) — has penetrated the consumer market and is prone to increasingly impact our lives in the near future. Various devices, e.g., MR glasses, AR smartphones apps, or VR headsets, are becoming more affordable, and leader tech companies are heavily investing for a more immersive, realistic, and connected future. Lately, this vision of an interconnected virtual space for people to work, learn, play and share experiences with others has been formulated as the so-called “Metaverse”. This expected paradigm shift will heavily rely on XR, and hence implies an unprecedented amount of sensible data being collected about the users. Indeed, XR devices collect large amounts of sensitive data, including biometric data (e.g., eye gaze and body movement data) that are primarily used as Natural User Interfaces (NUIs) or for the proper functioning of technologies and services. However, research has identified a number of privacy and security threats rooting from this pervasive data collection, as well as privacy threats regarding XR inputs, outputs, user interactions and devices themselves. Still, further efforts must be made to guarantee the privacy and safety of users in a usable fashion in the future, and XR must be considered as a whole rather than as the sum of its parts to match the vision of the Metaverse. In this context, we propose to analyse the gap between user privacy perceptions in XR as a whole, and their concrete behaviour. The goal of this research is to understand the differences and similarities between AR, MR and VR in terms of user privacy perceptions. This will help us to better understand the relationships between XR variants, which, we argue, is an important requirement to approach the future evolution of these technologies, and to consider usable privacy aspects that match the entire XR spectrum. Adopting this vision early on will be beneficial for future work, and will be the foundation for the implementation of a usable privacy-preserving solution in order to raise awareness and empower users by giving them more control over their privacy in the context of these new and future technologies.",
"Gaebel E,Zhang N,Lou W,Hou YT",Looks Good To Me: Authentication for Augmented Reality,2016,57–67,10,9781450345675,https://doi.org/10.1145/2995289.2995295,"Augmented reality is poised to become a dominant computing paradigm over the next decade. With promises of three-dimensional graphics and interactive interfaces, augmented reality experiences will rival the very best science fiction novels. This breakthrough also brings in unique challenges on how users can authenticate one another to share rich content between augmented reality headsets. Traditional authentication protocols fall short when there is no common central entity or when access to the central authentication server is not available or desirable. Looks Good To Me (LGTM) is an authentication protocol that leverages the unique hardware and context provided with augmented reality headsets to bring innate human trust mechanisms into the digital world to solve authentication in a usable and secure way. LGTM works over point to point wireless communication so users can authenticate one another in a variety of circumstances and is designed with usability at its core, requiring users to perform only two actions: one to initiate and one to confirm. Users intuitively authenticate one another, using seemingly only each other's faces, but under the hood LGTM uses a combination of facial recognition and wireless localization to bootstrap trust from a wireless signal, to a location, to a face, for secure and usable authentication.","usable security, usability, device pairing, augmented reality, wireless localization"
"Sluganovic I,Liskij M,Derek A,Martinovic I",Tap-Pair: Using Spatial Secrets for Single-Tap Device Pairing of Augmented Reality Headsets,2020,61–72,11,9781450371070,https://doi.org/10.1145/3374664.3375740,"Augmented Reality (AR) headsets, which allow for a realistic integration between the physical environment and virtual objects, are rapidly coming to customer and enterprise markets. This is largely because they enable a broad range of multi-user applications in which all participants experience the same augmentation of their natural surrounding. However, despite their increasing expansion, there currently exist no implemented methods for secure ad-hoc device pairing of multiple AR headsets. Given the importance of multi-user experiences for future applications of this technology, in this paper we propose two distinct ways to establish secure ad-hoc connections that rely only on typical user interactions in AR: gazing and tapping either at the location of a shared point on the wall or towards the user with whom one wants to connect. To show the feasibility and deployability of the proposed system to existing technology, we build a prototype of Tap-Pair, a system for ad-hoc pairing of AR headsets that is based on Password Authenticated Key Exchange protocols, requires only user interactions that are common in AR, and can be extended to more than two users. The experimental evaluation of the Tap-Pair prototype in a series of measurements at three different locations confirms the feasibility of our proposal, showing that the system built with currently available augmented reality headsets indeed achieves successful pairing in more than 90% of attempts, while keeping the probability of the attacker's success lower than 1e-3.","device pairing, augmented reality, mixed reality, authentication, ar, ar headset, microsoft hololens"
"Shi C,Xu X,Zhang T,Walker P,Wu Y,Liu J,Saxena N,Chen Y,Yu J",Face-Mic: Inferring Live Speech and Speaker Identity via Subtle Facial Dynamics Captured by AR/VR Motion Sensors,2021,478–490,12,9781450383424,https://doi.org/10.1145/3447993.3483272,"Augmented reality/virtual reality (AR/VR) has extended beyond 3D immersive gaming to a broader array of applications, such as shopping, tourism, education. And recently there has been a large shift from handheld-controller dominated interactions to headset-dominated interactions via voice interfaces. In this work, we show a serious privacy risk of using voice interfaces while the user is wearing the face-mounted AR/VR devices. Specifically, we design an eavesdropping attack, Face-Mic, which leverages speech-associated subtle facial dynamics captured by zero-permission motion sensors in AR/VR headsets to infer highly sensitive information from live human speech, including speaker gender, identity, and speech content. Face-Mic is grounded on a key insight that AR/VR headsets are closely mounted on the user's face, allowing a potentially malicious app on the headset to capture underlying facial dynamics as the wearer speaks, including movements of facial muscles and bone-borne vibrations, which encode private biometrics and speech characteristics. To mitigate the impacts of body movements, we develop a signal source separation technique to identify and separate the speech-associated facial dynamics from other types of body movements. We further extract representative features with respect to the two types of facial dynamics. We successfully demonstrate the privacy leakage through AR/VR headsets by deriving the user's gender/identity and extracting speech information via the development of a deep learning-based framework. Extensive experiments using four mainstream VR headsets validate the generalizability, effectiveness, and high accuracy of Face-Mic.","AR/VR headsets, facial dynamics, speech and speaker privacy"
"Olade I,Liang HN,Fleming C,Champion C",Exploring the Vulnerabilities and Advantages of SWIPE or Pattern Authentication in Virtual Reality (VR),2020,45–52,7,9781450376945,https://doi.org/10.1145/3385378.3385385,"Virtual reality applications are carving out a new niche within the entertainment and business user-sphere, therefore reliable security and usability are essential to achieving consumer confidence. In this paper, we are exploring (1) the suitability of porting the popular SWIPE mobile device authentication system for use within virtual reality (VR) by observing the advantages and vulnerabilities. (2) The effects of the interaction devices such as the hand-held-controller (HHC), the LeapMotion sensor, EyeTracker and the head-mounted-display (HMD). Our study is in three-folds, a web study (N=219) to collect and analyze possible SWIPE password patterns, then a mobile device study (N=15) and a VR study (N = 15) to evaluate the speed, login errors, usability of the SWIPE authentication system in both environment for comparison. We are also interested in the effectiveness of shoulder-surfing within VR as it is known to be a weakness in mobile devices.","PIN, Pattern, Security, Swipe, Virtual reality, Authentication, Mobile devices"
"McPherson R,Jana S,Shmatikov V",No Escape From Reality: Security and Privacy of Augmented Reality Browsers,2015,743–753,10,9781450334693,https://doi.org/10.1145/2736277.2741657,"Augmented reality (AR) browsers are an emerging category of mobile applications that add interactive virtual objects to the user's view of the physical world. This paper gives the first system-level evaluation of their security and privacy properties.We start by analyzing the functional requirements that AR browsers must support in order to present AR content. We then investigate the security architecture of Junaio, Layar, and Wikitude browsers, which are running today on over 30 million mobile devices, and identify new categories of security and privacy vulnerabilities unique to AR browsers. Finally, we provide the first engineering guidelines for securely implementing AR functionality.","augmented reality, mobile security, privacy, web security"
"Khan H,Hengartner U,Vogel D",Mimicry Attacks on Smartphone Keystroke Authentication,2020,,0,,https://doi.org/10.1145/3372420,"Keystroke behaviour-based authentication employs the unique typing behaviour of users to authenticate them. Recent such proposals for virtual keyboards on smartphones employ diverse temporal, contact, and spatial features to achieve over 95% accuracy. Consequently, they have been suggested as a second line of defense with text-based password authentication. We show that a state-of-the-art keystroke behaviour-based authentication scheme is highly vulnerable against mimicry attacks. While previous research used training interfaces to attack physical keyboards, we show that this approach has limited effectiveness against virtual keyboards. This is mainly due to the large number of diverse features that the attacker needs to mimic for virtual keyboards. We address this challenge by developing an augmented reality-based app that resides on the attacker’s smartphone and leverages computer vision and keystroke data to provide real-time guidance during password entry on the victim’s phone. In addition, we propose an audiovisual attack in which the attacker overlays transparent film printed with spatial pointers on the victim’s device and uses audio cues to match the temporal behaviour of the victim. Both attacks require neither tampering or installing software on the victim’s device nor specialized hardware. We conduct experiments with 30 users to mount over 400 mimicry attacks. We show that our methods enable an attacker to mimic keystroke behaviour on virtual keyboards with little effort. We also demonstrate the extensibility of our augmented reality-based technique by successfully mounting mimicry attacks on a swiping behaviour-based continuous authentication system.","behavioural biometrics, Mimicry attacks, authentication, augmented reality, spoofing attacks"
"Düzgün R,Noah N,Mayer P,Das S,Volkamer M",SoK: A Systematic Literature Review of Knowledge-Based Authentication on Augmented Reality Head-Mounted Displays,2022,,0,9781450396707,https://doi.org/10.1145/3538969.3539011,"The adoption of Augmented Reality (AR) technology has increased over the years. AR enhances various activities for consumers and businesses, particularly in industrial contexts. The three-dimensional virtual experience is realized by the usage of Head-Mounted Displays (HMD). These devices provide access to sensitive data and services. Thus, secure and usable authentication schemes are essential to control access to the HMD and the stored data as well as schemes to authenticate to the services one wants to use with the AR device. We conducted a systematic literature review on knowledge-based authentication schemes for AR HMD. 31 different schemes were identified. These schemes were assessed regarding various aspects including the type of AR HMD, the type of secret, how users input their secret, as well as usability and security aspects. We discuss gaps for future work.","Head-Mounted Display, Authentication, Password Entry, Literature Review, Augmented Reality"
"Men L,Zhao D",Designing Privacy for Collaborative Music Making in Virtual Reality,2021,93–100,7,9781450385695,https://doi.org/10.1145/3478384.3478392,"Privacy is needed to schedule personal activities and social interaction, and to prepare and create wonderful things before confidently sharing with others. How to build privacy in virtual reality remains an open question, though it is potentially as important as it is in reality. This paper presents two studies to build privacy in VR with a focus on providing sonic privacy to aid collaborative music making (CMM). The first study uses soundproof walls to provide sonic privacy, the second study applies augmented sound attenuation as a way to produce sonic privacy to aid collaborative music making. Results show privacy is needed and both ways can produce sonic privacy. Privacy provided in the first study is binary and discrete, whilst privacy provided in the latter is continuous, step-less and adjustable. By comparing and discussing between these two approaches, we propose a methodological approach to build privacy to aid collaboration in shared virtual reality. In particular, three channels for building privacy have been identified and three implications have been proposed for designing privacy for collaborative tasks in shared virtual environments, collaborative music making in particular.","Interaction Design, HCI, Audio Attenuation, Virtual Reality Musical Instruments, Virtual Reality, Sonic Interaction, Virtual Environment, Sonic Privacy, Music Computing"
"Düzgün R,Mayer P,Volkamer M",Shoulder-Surfing Resistant Authentication for Augmented Reality,2022,,0,9781450396998,https://doi.org/10.1145/3546155.3546663,"Augmented Reality (AR) Head-Mounted Displays (HMD) are increasingly used in industry to digitize processes and enhance user experience by enabling real-time interaction with both physical and virtual objects. In this context, HMD provide access to sensitive data and applications which demand authenticating users before granting access. Furthermore, these devices are often used in shared spaces. Thus, shoulder-surfing attacks need to be addressed. As users can remember pictures more easily than text, we applied the recognition-based graphical password scheme “Things” from previous work on an AR HMD while placing the pictures for each authentication attempt in a random order. We implemented this scheme for the HMD Microsoft HoloLens and conducted a user study evaluating Things’s usability. All participants could be successfully authenticated and the System Usability Scale (SUS) score is with 74 categorized as above average. We discuss as future work how to improve the SUS scores, e.g., by using different grid designs and input methods.","authentication, graphical passwords, Augmented Reality, Head-Mounted Displays, usability evaluation"
