Scopus refine results values

"Your query : (TITLE-ABS-KEY((Augmented Reality OR Mixed reality OR VR OR AR OR MR) AND (security OR authentication OR Risks OR privacy )) AND ( LIMIT-TO ( SRCTYPE,""j"" ) OR LIMIT-TO ( SRCTYPE,""p"" ) )  AND ( LIMIT-TO ( OA,""all"" ) )  AND ( LIMIT-TO ( PUBSTAGE,""final"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( SUBJAREA,""COMP"" ) OR LIMIT-TO ( SUBJAREA,""ENGI"" ) )  AND ( LIMIT-TO ( PUBYEAR,2023) OR LIMIT-TO ( PUBYEAR,2022) OR LIMIT-TO ( PUBYEAR,2021) OR LIMIT-TO ( PUBYEAR,2020) OR LIMIT-TO ( PUBYEAR,2019) OR LIMIT-TO ( PUBYEAR,2018) OR LIMIT-TO ( PUBYEAR,2017) OR LIMIT-TO ( PUBYEAR,2016) OR LIMIT-TO ( PUBYEAR,2015) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( EXACTKEYWORD,""Virtual Reality"" ) OR LIMIT-TO ( EXACTKEYWORD,""Security Of Data"" ) ) )"


Number of results : 50

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","50","2023","2","Acharya, M.","1","Arts and Humanities","1","Article","50","final","50","IEEE Access","6","Virtual Reality","47","Università degli Studi di Padova","2","Horizon 2020 Framework Programme","5","United States","14","Journal","50","English","50"
"Gold","30","2022","13","Afolabi, A.O.","1","Biochemistry, Genetics and Molecular Biology","5",,,,,"Applied Sciences Switzerland","4","Augmented Reality","36","King Abdulaziz University","2","National Natural Science Foundation of China","4","China","9",,,,
"Hybrid Gold","7","2021","14","Aguinaga, I.","1","Business, Management and Accounting","3",,,,,"Frontiers In Virtual Reality","3","5G Mobile Communication Systems","4","Texas A&amp;M University","2","Engineering and Physical Sciences Research Council","2","India","7",,,,
"Bronze","4","2020","9","Al-Debei, M.M.","1","Chemical Engineering","7",,,,,"Electronics Switzerland","2","Artificial Intelligence","4","Waseda University","2","European Commission","2","United Kingdom","7",,,,
"Green","32","2019","5","Al-Otaibi, Y.D.","1","Chemistry","1",,,,,"AI Magazine","1","Augmented And Virtual Realities","4","Virginia Commonwealth University","1","European Research Council","2","Italy","6",,,,
,,"2018","3","Alam, M.F.","1","Computer Science","37",,,,,"Advanced Science","1","Industry 4.0","4","University of Aosta Valley","1","National Institutes of Health","2","Saudi Arabia","4",,,,
,,"2017","1","Alazab, M.","1","Decision Sciences","2",,,,,"Buildings","1","Internet Of Things","4","Prisma Electronics SA","1","National Science Foundation","2","Australia","3",,,,
,,"2016","2","Ali, A.","1","Energy","1",,,,,"Computers And Industrial Engineering","1","Metaverses","4","Jining First People's Hospital","1","Seventh Framework Programme","2","France","3",,,,
,,"2015","1","Almeida, J.","1","Engineering","34",,,,,"Ethics And Information Technology","1","Mixed Reality","4","IEEE Society on Social Implications of Technology SSIT","1","AXA Research Fund","1","Germany","3",,,,
,,,,"Almogren, A.","1","Environmental Science","2",,,,,"Frontiers In Bioengineering And Biotechnology","1","Digital Storage","3","Livework Studio","1","Aalto-Yliopisto","1","Japan","3",,,,
