Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Adams, Devon; Bah, Alseny; Barwulor, Catherine; Musaby, Nureli; Pitkin, Kadeem; Redmiles, Elissa M; ",Ethics emerging: the story of privacy and security perceptions in virtual reality,SOUPS@ USENIX Security Symposium,,,427-442,2018,
"Giaretta, Alberto; ",Security and Privacy in Virtual Reality--A Literature Survey,arXiv preprint arXiv:2205.00208,,,,2022,
"Dick, Ellysse; ",Balancing user privacy and innovation in augmented and virtual reality,,,,,2021,Information Technology and Innovation Foundation
"Gulhane, Aniket; Vyas, Akhil; Mitra, Reshmi; Oruche, Roland; Hoefer, Gabriela; Valluripally, Samaikya; Calyam, Prasad; Hoque, Khaza Anuarul; ","Security, privacy and safety risk assessment for virtual reality learning environment applications",2019 16th IEEE Annual Consumer Communications & Networking Conference (CCNC),,,1-9,2019,IEEE
"Lin, Jinghuai; Latoschik, Marc Erich; ","Digital body, identity and privacy in social virtual reality: A systematic review",Frontiers in Virtual Reality,3,,167,2022,Frontiers
"Valluripally, Samaikya; Gulhane, Aniket; Mitra, Reshmi; Hoque, Khaza Anuarul; Calyam, Prasad; ",Attack trees for security and privacy in social virtual reality learning environments,2020 IEEE 17th Annual Consumer Communications & Networking Conference (CCNC),,,1-9,2020,IEEE
"Kulal, Shalaka; Li, Zhigang; Tian, Xin; ",Security and privacy in virtual reality: A literature review.,Issues in Information Systems,23,2,185-192,2022,
"Patra, Santosh K; ","Intersubjectivity world of virtual reality: Facebook users behaviour in the context of privacy, self and identity",Media Watch,9,2,182-193,2018,Centre for Academic Social Action
"Patel, Parth Dipakkumar; Trivedi, Prem; ","A systematic literature review on Virtual Reality and Augmented Reality in terms of privacy, authorization and data-leaks",arXiv preprint arXiv:2212.04621,,,,2022,
"Moon, Sumyung; Reidenberg, Joel R; Russell, N Cameron; ",Privacy in Gaming and Virtual Reality Technologies: Review of Academic Literature,,,,,2017,
"Gumbo, Yunus; Zhao, Liang; ",Security and Privacy Issues in Augmented Reality and Virtual Reality,,,,,2022,
"Еременко, КВ; ","Law, virtual reality, and augmented reality. Legal issues of privacy",,,,,2021,
"Falchuk, Benjamin; Loeb, Shoshana; Neff, Ralph; ",SYSTEM AND METHOD TO PREVENT SURVEILLANCE AND PRESERVE PRIVACY IN VIRTUAL REALITY,,,,,2023,"US Patent App. 17/942,900"
"Wang, Yuntao; Su, Zhou; Zhang, Ning; Xing, Rui; Liu, Dongxiao; Luan, Tom H; Shen, Xuemin; ","A survey on metaverse: Fundamentals, security, and privacy",IEEE Communications Surveys & Tutorials,,,,2022,IEEE
"Di Pietro, Roberto; Cresci, Stefano; ",Metaverse: security and privacy issues,"2021 Third IEEE International Conference on Trust, Privacy and Security in Intelligent Systems and Applications (TPS-ISA)",,,281-288,2021,IEEE
"Falchuk, Ben; Loeb, Shoshana; Neff, Ralph; ",The social metaverse: Battle for privacy,IEEE Technology and Society Magazine,37,2,52-61,2018,IEEE
"Chen, Zefeng; Wu, Jiayang; Gan, Wensheng; Qi, Zhenlian; ",Metaverse security and privacy: An overview,arXiv preprint arXiv:2211.14948,,,,2022,
"De Guzman, Jaybie A; Thilakarathna, Kanchana; Seneviratne, Aruna; ",Security and privacy approaches in mixed reality: A literature survey,ACM Computing Surveys (CSUR),52,6,1-37,2019,"ACM New York, NY, USA"
"Lebeck, Kiron; Ruth, Kimberly; Kohno, Tadayoshi; Roesner, Franziska; ",Towards security and privacy for multi-user augmented reality: Foundations with end users,2018 IEEE Symposium on Security and Privacy (SP),,,392-408,2018,IEEE
"Kotsios, Andreas; ",Privacy in an augmented reality,International journal of law and information technology,23,2,157-185,2015,Oxford University Press
"Molnar, David; Vilk, John; Ofek, Eyal; Moshchuk, Alexander; Wang, Jiahe; Gal, Ran; Shapira, Lior; Burger, Douglas Christopher; MacIntyre, Blair; Livshits, Benjamin; ",Protecting privacy in web-based immersive augmented reality,,,,,2017,Google Patents
"Bye, Kent; Hosfelt, Diane; Chase, Sam; Miesnieks, Matt; Beck, Taylor; ",The ethical and privacy implications of mixed reality,ACM SIGGRAPH 2019 Panels,,,1-2,2019,
"Roesner, Franziska; Kohno, Tadayoshi; ",Security and privacy for augmented reality: Our 10-year retrospective,VR4Sec: 1st International Workshop on Security for XR and XR for Security,,,,2021,
"Dick, Ellysse; ",How to address privacy questions raised by the expansion of augmented reality in public spaces,,,,,2020,Information Technology and Innovation Foundation
"Clement, Manuel Christian; Welker, Stefan; ",Information privacy in virtual reality,,,,,2019,Google Patents
"King, Andrew; Kaleem, Faisal; Rabieh, Khaled; ",A survey on privacy issues of augmented reality applications,"2020 IEEE Conference on Application, Information and Network Security (AINS)",,,32-40,2020,IEEE
"Bradski, Gary R; ",Privacy-sensitive consumer cameras coupled to augmented reality systems,,,,,2018,Google Patents
"Noah, Naheem; Shearer, Sommer; Das, Sanchari; ",Security and privacy evaluation of popular augmented and virtual reality technologies,"Proceedings of the 2022 IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence, and Neural Engineering (IEEE MetroXRAINE 2022)",,,,2022,
"Forte, Andrea; Vahlis, Evgene; ",Augmented reality based privacy and decryption,,,,,2017,Google Patents
"Vladimirov, Ivaylo; Nenova, Maria; Nikolova, Desislava; Terneva, Zornitsa; ",Security and Privacy Protection Obstacles with 3D Reconstructed Models of People in Applications and the Metaverse: A Survey,"2022 57th International Scientific Conference on Information, Communication and Energy Systems and Technologies (ICEST)",,,1-4,2022,IEEE
"Garrido, Gonzalo Munilla; Nair, Vivek; Song, Dawn; ",SoK: Data Privacy in Virtual Reality,arXiv preprint arXiv:2301.05940,,,,2023,
"Nielsen, Mary Lynne; ","Augmented Reality and its Impact on the Internet, Security, and Privacy",,,,,2015,
"Bavana, K; ",Privacy in the Metaverse,Jus Corpus LJ,2,,1,2021,HeinOnline
"Ahsani, Vesal; Rahimi, Ali; Letafati, Mehdi; Khalaj, Babak Hossein; ","Unlocking Metaverse-as-a-Service The three pillars to watch: Privacy and Security, Edge Computing, and Blockchain",arXiv preprint arXiv:2301.01221,,,,2023,
"Hosfelt, Diane; Shadowen, Nicole; ",Privacy implications of eye tracking in mixed reality,arXiv preprint arXiv:2007.10235,,,,2020,
"Japar, Muhd Hakeem Pg Haji Muhd; Anshari, Muhammad; Sumardi, Wardah Hakimah Haji; ",Privacy and Security Concerns in the Metaverse,Metaverse Applications for New Business Models and Disruptive Innovation,,,133-149,2023,IGI Global
"Gumbo, Yunus; ",A Literature Review On Privacy and Security in Virtual Reality and Augmented Reality,,,,,2022,
"SETHI, AARUSHI; ","Security and Privacy in Metaverse: Issues, Challenges, and Future Opportunities",,,,,,
