"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"You Can’t Hide Behind Your Headset: User Profiling in Augmented and Virtual Reality","P. P. Tricomi; F. Nenna; L. Pajola; M. Conti; L. Gamberi","Chisito SRL, Padua, Italy; Human Inspired Technology Research Centre HIT, University of Padova, Padua, Italy; Department of Mathematics, University of Padova, Padua, Italy; Chisito SRL, Padua, Italy; Human Inspired Technology Research Centre HIT, University of Padova, Padua, Italy","IEEE Access","2 Feb 2023","2023","11","","9859","9875","Augmented and Virtual Reality (AR and VR), collectively known as Extended Reality (XR), are increasingly gaining traction thanks to their technical advancement and the need for remote connections, recently accentuated by the pandemic. Remote surgery, telerobotics, and virtual offices are only some examples of their successes. As users interact with XR, they generate extensive behavioral data usually leveraged for measuring human activity, which could be used for profiling users’ identities or personal information (e.g., gender). However, several factors affect the efficiency of profiling, such as the technology employed, the action taken, the mental workload, the presence of bias, and the sensors available. To date, no study has considered all of these factors together and in their entirety, limiting the current understanding of XR profiling. In this work, we provide a comprehensive study on user profiling in virtual technologies (i.e., AR, VR). Specifically, we employ machine learning on behavioral data (i.e., head, controllers, and eye data) to identify users and infer their individual attributes (i.e., age, gender). Toward this end, we propose a general framework that can potentially infer any personal information from any virtual scenarios. We test our framework on eleven generic actions (e.g., walking, searching, pointing) involving low and high mental loads, derived from two distinct use cases: an AR everyday application (34 participants) and VR robot teleoperation (35 participants). Our framework limits the burden of creating technology- and action-dependent algorithms, also reducing the experimental bias evidenced in previous work, providing a simple (yet effective) baseline for future works. We identified users up to 97% F1-score in VR and 80% in AR. Gender and Age inference was also facilitated in VR, reaching up to 82% and 90% F1-score, respectively. Through an in-depth analysis of sensors’ impact, we found VR profiling resulting more effective than AR mainly because of the eye sensors’ presence.","2169-3536","","10.1109/ACCESS.2023.3240071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10027854","Augmented reality;machine learning;metaverse;privacy;user profiling;virtual reality","Privacy;X reality;Sensors;Security;Metaverse;Behavioral sciences;Surgery;Machine learning;Augmented reality;Virtual reality","augmented reality;learning (artificial intelligence);telerobotics","age inference;augmented reality;behavioral data;extended reality;eye data;eye sensors;gender;personal information;remote connections;user profiling;virtual offices;virtual reality;virtual scenarios;virtual technologies;VR profiling;XR profiling","","","","71","CCBY","27 Jan 2023","","","IEEE","IEEE Journals"
"Doodle-Based Authentication Technique Using Augmented Reality","W. Wazir; H. A. Khattak; A. Almogren; M. A. Khan; I. Ud Din","Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Computer Science, College of Computer and Information Sciences, Chair of Cyber Security, King Saud University, Riyadh, Saudi Arabia; Department of Information Technology, The University of Haripur, Haripur, Pakistan; Department of Information Technology, The University of Haripur, Haripur, Pakistan","IEEE Access","9 Jan 2020","2020","8","","4022","4034","The emergence of augmented reality (AR) and virtual reality (VR) has revolutionized the trends in computing devices and modern technologies drastically. With this revolution, there is a need to extend existing architectures of security to serve as the key protective feature in all computing devices. In this experimental study, the aim is to develop a novel authentication technique with a fusion of graphical doodle password approach and AR environments. The mash-up of both doodle passwords and AR in a 3D space gives a promising direction to set off to a modern, more usable, and satisfying authentication techniques. The proposed approach works on real-time size and coordinate matching of doodles in an AR environment for the authentication of users. The creation of doodle passwords in an AR space is carried on by touch-gesture-recognition on a smartphone. The usability and usefulness of the proposed technique is evaluated by conducting an extensive survey, based on tasks and user experience assessments. The randomized-post-test-only study model is used to conduct experimentation that is also followed by the analysis of security parameters with the help of confusion matrix. The obtained results predict the use of AR during the authentication process more satisfying for users, where the proposed technique is useful, usable, and secure in comparison to the existing authentication approaches. This paper also highlights the importance of research needed for the utilization of modern techniques during the creation of security frameworks.","2169-3536","","10.1109/ACCESS.2019.2963543","Deanship of Scientific Research, King Saud University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8947984","Augmented reality;gesture recognition;password;doodle-based authentication;usable security","Authentication;Password;Three-dimensional displays;Pins;Gesture recognition;Augmented reality","augmented reality;authorisation;gesture recognition;haptic interfaces;human computer interaction;message authentication;mobile computing;smart phones","augmented reality;virtual reality;touch-gesture-recognition;security parameters;doodle-based authentication;graphical doodle password;smartphone;randomized-post-test-only","","13","","41","CCBY","1 Jan 2020","","","IEEE","IEEE Journals"
"Exploring the Application of RFID for Designing Augmented Virtual Reality Experience","R. Xiao; A. Vianto; A. Shaikh; O. Buruk; J. Hamari; J. Virkki","Faculty of Medicine and Health Technology, Tampere Institute for Advanced Study, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere Institute for Advanced Study, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere Institute for Advanced Study, Tampere University, Tampere, Finland; Gamification Group, Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Gamification Group, Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere Institute for Advanced Study, Tampere University, Tampere, Finland","IEEE Access","19 Sep 2022","2022","10","","96840","96851","Recent technical advancement has driven the boundary between the physical reality and digital virtuality to diminish significantly. As part of the emerging trend, existing research leverages a synergized use of Radio Frequency IDentification (RFID) and virtual reality (VR) to create compelling hybrid user experience. However, current state-of-the-art literature indicates a lack of coherent architecture for seamlessly integrating these two siloed technology stacks, thus hindering full-fledged mixed and extended reality applications. In this article, we first conducted a comprehensive literature review and identified key design themes and different technical affordances of RFID within VR context; in reflection of our findings, we hence proposed an overarching architecture to facilitate swift and flexible composition of RFID and VR; Three use cases were further established using the proposed architecture to both demonstrate its technical feasibility and qualitatively assess RFID’s augmentation over conventional VR applications. This exploratory research intends to offer some preliminary design knowledge and insights for designing and developing RFID-augmented VR applications, open up opportunities for further discussion and research interest in this area, thus ultimately contributing to more immersive, interactive and informative user experience.","2169-3536","","10.1109/ACCESS.2022.3204396","Academy of Finland(grant numbers:332168,337861); Business Finland(grant numbers:5654/31/2018 (Project GArMEnt)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9877902","RFID;virtual reality;mixed reality;extended reality;augmented virtuality;user experience design","Radiofrequency identification;Virtual reality;User experience;RFID tags;Libraries;Market research;Computer architecture","","","","","","32","CCBY","5 Sep 2022","","","IEEE","IEEE Journals"
"A Review of Metaverse’s Definitions, Architecture, Applications, Challenges, Issues, Solutions, and Future Trends","A. M. Al-Ghaili; H. Kasim; N. M. Al-Hada; Z. B. Hassan; M. Othman; J. H. Tharik; R. M. Kasmani; I. Shayea","Department of Computing, CCI, UNITEN, Kajang, Selangor, Malaysia; Department of Informatics, College of Computing and Informatics (CCI), UNITEN, Kajang, Selangor, Malaysia; Electronics and Communication Engineering Department, Faculty of Electrical and Electronics Engineering, Istanbul Technical University, Sarıyer, Turkey; Department of Informatics, College of Computing and Informatics (CCI), UNITEN, Kajang, Selangor, Malaysia; Faculty of Data Science and Information Technology, INTI International University, Nilai, Negeri Sembilan, Malaysia; Department of Informatics, College of Computing and Informatics (CCI), UNITEN, Kajang, Selangor, Malaysia; School of Chemical and Energy Engineering, Universiti Teknologi Malaysia, Skudai, Johor Bahru, Malaysia; Electronics and Communication Engineering Department, Faculty of Electrical and Electronics Engineering, Istanbul Technical University, Sarıyer, Turkey","IEEE Access","6 Dec 2022","2022","10","","125835","125866","Metaverse is a vision enabling to constitute an environment in which someone could see real and virtualized worlds. The Metaverse is a product (or something similar as we do not yet know its final form) of such technologies. In this circumstance, when applications that utilize the Metaverse are used, there seem to be no transportation charges, and there is no cap on amounts of individuals, users, players, learners, or trainee who can take part. Hence, and due to such a feature, the Metaverse has attracted various researchers from different fields where it has been exploited by them to contribute to those fields and research areas. As for example, it is possible to teach various target audiences by offering different events and classes from any location in the globe. In order for a participant to utilize the Metaverse, there are necessary conditions to be considered as well as other settings to be initialized. In line of this, virtual reality, augmented reality, availability of required sensors, smart glasses, headsets, and few others are considered some examples of such conditions and settings that the Metaverse requires. Despite the advantages that Metaverse offers us, there are a number of considerations that must be taken into account while developing it by interested researchers. One of these concerns is the Metaverse privacy regarding the participants (represented as avatars inside the Metaverse environment). Another issue is that since the Metaverse is still in its early stages, many attempts have to be made from interested researchers who engage to develop it to enhancing it. This review aims to survey related articles that concern the Metaverse and its development providing a review of the chronological stages throughout the history of the development of Metaverse. It aims also to list a number of recent technological advances allowing the Metaverse. Besides, Metaverse’s definitions, properties, architecture, and applications have been discussed and listed in this review. The novelty of this article is that it has suggested a framework to a number of issues that are still paid attention for potential solutions by researchers aiming to contribute to researchers and designers to consider such an issue and its corresponding solution for future research works and enhancement. Challenges faced by researchers and other relevant concerned issues related to Metaverse have been in detail discussed and highlighted. Besides, future trends have been clarified.","2169-3536","","10.1109/ACCESS.2022.3225638","Universiti Tenaga Nasional (UNITEN)(grant numbers:J510050002—IC-6); Tenaga Nasional Berhad (TNB) and UNITEN with TNB Seed Fund(grant numbers:U-TL-RD-21); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9966605","Metaverse;virtual reality;augmented reality;web 3.0;metaverse privacy;games;graphics;Internet of Things (IoT)","Metaverse;Three-dimensional displays;Artificial intelligence;Semantic Web;Headphones;Privacy;Market research","augmented reality;computer games;Internet;Internet of Things","augmented reality;headsets;Internet of Things;IoT;Metaverse privacy;smart glasses;virtual reality;Web 3.0","","2","","140","CCBY","30 Nov 2022","","","IEEE","IEEE Journals"
"A Survey on Mobile Augmented Reality With 5G Mobile Edge Computing: Architectures, Applications, and Technical Aspects","Y. Siriwardhana; P. Porambage; M. Liyanage; M. Ylianttila","Centre for Wireless Communications, University of Oulu, Oulu, Finland; Centre for Wireless Communications, University of Oulu, Oulu, Finland; School of Computer Science, University Collage Dublin, Dublin, Ireland; Centre for Wireless Communications, University of Oulu, Oulu, Finland","IEEE Communications Surveys & Tutorials","21 May 2021","2021","23","2","1160","1192","The Augmented Reality (AR) technology enhances the human perception of the world by combining the real environment with the virtual space. With the explosive growth of powerful, less expensive mobile devices, and the emergence of sophisticated communication infrastructure, Mobile Augmented Reality (MAR) applications are gaining increased popularity. MAR allows users to run AR applications on mobile devices with greater mobility and at a lower cost. The emerging 5G communication technologies act as critical enablers for future MAR applications to achieve ultra-low latency and extremely high data rates while Multi-access Edge Computing (MEC) brings enhanced computational power closer to the users to complement MAR. This paper extensively discusses the landscape of MAR through the past and its future prospects with respect to the 5G systems and complementary technology MEC. The paper especially provides an informative analysis of the network formation of current and future MAR systems in terms of cloud, edge, localized, and hybrid architectural options. The paper discusses key application areas for MAR and their future with the advent of 5G technologies. The paper also discusses the requirements and limitations of MAR technical aspects such as communication, mobility management, energy management, service offloading and migration, security, and privacy and analyzes the role of 5G technologies.","1553-877X","","10.1109/COMST.2021.3061981","Academy of Finland in 6Genesis Flagship(grant numbers:318927); 5GEAR Projects(grant numbers:319669); European Union in RESPONSE 5G Project(grant numbers:789658); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9363323","5G;multi-access edge computing (MEC);cloud;mobile augmented reality (MAR);augmented reality (AR);network architecture","Augmented reality;5G mobile communication;Mobile handsets;Rendering (computer graphics);Mars;Wireless communication;Cloud computing","5G mobile communication;augmented reality;mobile computing;mobile radio;mobility management (mobile radio)","enhanced computational power;complementary technology MEC;paper discusses key application areas;MAR technical aspects;mobility management;5G Mobile Edge Computing;Augmented Reality technology;human perception;powerful devices;less expensive mobile devices;sophisticated communication infrastructure;Mobile Augmented Reality applications;AR applications;greater mobility;future MAR applications;extremely high data rates;Multiaccess Edge Computing","","137","","282","CCBY","25 Feb 2021","","","IEEE","IEEE Journals"
"Coalition of 6G and Blockchain in AR/VR Space: Challenges and Future Directions","P. Bhattacharya; D. Saraswat; A. Dave; M. Acharya; S. Tanwar; G. Sharma; I. E. Davidson","Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Electrical Power Engineering, Durban University of Technology, Steve Biko Campus, Durban, South Africa; Department of Electrical Power Engineering, Durban University of Technology, Steve Biko Campus, Durban, South Africa","IEEE Access","30 Dec 2021","2021","9","","168455","168484","The digital content wave has proliferated the financial and industrial sectors. Moreover, with the rise of massive internet-of-things, and automation, technologies like augmented reality (AR) and virtual reality (VR) have emerged as prominent players to drive a range of applications. Currently, sixth-generation (6G) networks support enhanced holographic projection through terahertz (THz) bandwidths, ultra-low latency, and massive device connectivity. However, the data is exchanged between autonomous networks over untrusted channels. Thus, to ensure data security, privacy, and trust among stakeholders, blockchain (BC) opens new dimensions towards intelligent resource management, user access control, audibility, and chronology in stored transactions. Thus, the BC and 6G coalition in future AR/VR applications is an emerging investigative topic. To date, authors have proposed surveys that study the integration of BC and 6G in AR/VR in isolation, and hence a coherent survey is required. Thus, to address the gap, the survey is the first-of-its-kind to investigate and study the coalition of BC and 6G in AR/VR space. Based on the proposed research questions in the survey, a solution taxonomy is presented, and different verticals are studied in detail. Furthermore, an integrative architecture is proposed, and open issues and challenges are presented. Finally, a case study, BvTours, is presented that presents a unique survey on BC-based 6G-assisted AR/VR virtual home tour service. The survey intends to propose future resilient frameworks and architectures for different industry 4.0 verticals and would serve as starting directions for academia, industry stakeholders, and research organizations to study the coalition of BC and 6G in AR/VR in industrial applications, gaming, digital content manufacturing, and digital assets protection in greater detail.","2169-3536","","10.1109/ACCESS.2021.3136860","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9656726","6G;augmented reality;blockchain;digital content;industry 4.0;smart contracts;virtual reality applications","6G mobile communication;5G mobile communication;Blockchains;Real-time systems;Quality of experience;Medical services;Artificial intelligence","6G mobile communication;augmented reality;authorisation;blockchains;data privacy;Internet of Things;trusted computing","blockchain;digital content wave;financial sectors;industrial sectors;Internet-of-Things;virtual reality;sixth-generation networks;holographic projection;ultra-low latency;device connectivity;autonomous networks;untrusted channels;data security;intelligent resource management;user access control;integrative architecture;industry 4.0;industry stakeholders;digital content manufacturing;VR space;AR space;augmented reality;terahertz bandwidths;data exchange;data privacy;data trust;audibility;BvTours;BC-based 6G-assisted AR/VR virtual home tour service;6G network;digital assets protection","","14","","77","CCBY","20 Dec 2021","","","IEEE","IEEE Journals"
"Design of Secure Mutual Authentication Scheme for Metaverse Environments Using Blockchain","J. Ryu; S. Son; J. Lee; Y. Park; Y. Park","School of Electronic and Electrical Engineering, Kyungpook National University, Daegu, South Korea; School of Electronic and Electrical Engineering, Kyungpook National University, Daegu, South Korea; School of Electronic and Electrical Engineering, Kyungpook National University, Daegu, South Korea; School of Computer Engineering, Keimyung University, Daegu, South Korea; School of Electronics Engineering, Kyungpook National University, Daegu, South Korea","IEEE Access","23 Sep 2022","2022","10","","98944","98958","During the COVID-19 pandemic, engagement in various remote activities such as online education and meetings has increased. However, since the conventional online environments typically provide simple streaming services using cameras and microphones, there have limitations in terms of physical expression and experiencing real-world activities such as cultural and economic activities. Recently, metaverse environments, three-dimensional virtual reality that use avatars, have attracted increasing attention as a means to solve these problems. Thus, many metaverse platforms such as Roblox, Minecraft, and Fortnite have been emerging to provide various services to users. However, such metaverse environments are potentially vulnerable to various security threats because the users and platform servers communicate through public channels. In addition, sensitive user data such as identity, password, and biometric information are managed by each platform server. In this paper, we design a system model that can guarantee secure communication and transparently manage user identification data in metaverse environments using blockchain technology. We also propose a mutual authentication scheme using biometric information and Elliptic Curve Cryptography (ECC) to provide secure communication between users and platform servers and secure avatar interactions between avatars and avatars. To demonstrate the security of the proposed mutual authentication scheme, we perform informal security analysis, Burrows–Abadi–Needham (BAN) logic, Real-or-Random (ROR) model, and Automated Validation of Internet Security Protocols and Applications (AVISPA). In addition, we compare the computation costs, communication costs, and security features of the proposed scheme with existing schemes in similar environments. The results demonstrate that the proposed scheme has lower computation and communication costs and can provide a wider range of security features than existing schemes. Thus, our proposed scheme can be used to provide secure metaverse environments.","2169-3536","","10.1109/ACCESS.2022.3206457","Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education(grant numbers:2021R1I1A3059551); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9889723","Metaverse;avatar;authentication;BAN logic;ROR model;AVISPA;blockchain;elliptic curve cryptography;biohashing","Metaverse;Avatars;Blockchains;Security;Authentication;Servers;Solid modeling;Cryptography","authorisation;avatars;biometrics (access control);cryptographic protocols;cryptography;Internet;message authentication;protocols;public key cryptography;security of data;telecommunication security;virtual reality","secure mutual authentication scheme;remote activities;online education;meetings;conventional online environments;simple streaming services;physical expression;experiencing real-world activities;cultural activities;economic activities;metaverse platforms;security threats;platform server;sensitive user data;biometric information;secure communication;user identification data;secure avatar interactions;avatars;informal security analysis;Internet Security Protocols;communication costs;security features;similar environments;secure metaverse environments","","4","","49","CCBY","14 Sep 2022","","","IEEE","IEEE Journals"
"Multimodal Multi-User Mixed Reality Human–Robot Interface for Remote Operations in Hazardous Environments","K. A. Szczurek; R. M. Prades; E. Matheson; J. Rodriguez-Nogueira; M. D. Castro","Department of Computer Science and Engineering, Jaume I University of Castellon, Castelló de la Plana, Spain; Department of Computer Science and Engineering, Jaume I University of Castellon, Castelló de la Plana, Spain; European Organization for Nuclear Research (CERN), Geneva, Switzerland; European Organization for Nuclear Research (CERN), Geneva, Switzerland; European Organization for Nuclear Research (CERN), Geneva, Switzerland","IEEE Access","24 Feb 2023","2023","11","","17305","17333","In hazardous environments, where conditions present risks for humans, the maintenance and interventions are often done with teleoperated remote systems or mobile robotic manipulators to avoid human exposure to dangers. The increasing need for safe and efficient teleoperation requires advanced environmental awareness and collision avoidance. The up-to-date screen-based 2D or 3D interfaces do not fully allow the operator to immerse in the controlled scenario. This problem can be addressed with the emerging Mixed Reality (MR) technologies with Head-Mounted Devices (HMDs) that offer stereoscopic immersion and interaction with virtual objects. Such human-robot interfaces have not yet been demonstrated in telerobotic interventions in particle physics accelerators. Moreover, the operations often require a few experts to collaborate, which increases the system complexity and requires sharing an Augmented Reality (AR) workspace. The multi-user mobile telerobotics in hazardous environments with shared control in the AR has not yet been approached in the state-of-the-art. In this work, the developed MR human-robot interface using the AR HMD is presented. The interface adapts to the constrained wireless networks in particle accelerator facilities and provides reliable high-precision interaction and specialized visualization. The multimodal operation uses hands, eyes and user motion tracking, and voice recognition for control, as well as offers video, 3D point cloud and audio feedback from the robot. Multiple experts can collaborate in the AR workspace locally or remotely, and share or monitor the robot’s control. Ten operators tested the interface in intervention scenarios in the European Organization for Nuclear Research (CERN) with complete network characterization and measurements to conclude if operational requirements were met and if the network architecture could support single and multi-user communication load. The interface system has proved to be operationally ready at the Technical Readiness Level (TRL) 8 and was validated through successful demonstration in single and multi-user missions. Some system limitations and further work areas were identified, such as optimizing the network architecture for multi-user scenarios or high-level interface actions applying automatic interaction strategies depending on network conditions.","2169-3536","","10.1109/ACCESS.2023.3245833","CERN; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10045681","Augmented Reality;facility maintenance;hand tracking;hazardous environment;human–robot interaction;mixed reality;mobile robotic manipulator;mobile network;multi-user;safe operations;point cloud;spatial perception;telerobotics;voice control","Mobile robots;Collision avoidance;Robot sensing systems;Augmented reality;Three-dimensional displays;Collaboration;Human factors;Safety;Telerobotics","","","","","","68","CCBY","15 Feb 2023","","","IEEE","IEEE Journals"
"Olfactory-Based Augmented Reality Support for Industrial Maintenance","J. Erkoyuncu; S. Khan","Manufacturing Department, Cranfield University, Cranfield, U.K.; Department of Aeronautics and Astronautics, The University of Tokyo, Tokyo, Japan","IEEE Access","17 Feb 2020","2020","8","","30306","30321","Augmented reality (AR) applications have opened innovative ways for performance improvement in the IoT industry. It can enhance user perception of the real-world by providing valuable information about an industrial environment and provide visual virtual information onto a head-mounted device (HMD). Such information is important for maintainers to quickly detect abnormalities, reduce nugatory routines and facilitate preventive maintenance activities. Since odors are made up of volatile compounds at low concentration, they can be used for olfactory-based identification. The article outlines the development of an olfactory-based AR system to help with the identification of maintenance issues using smell. The prototype comprises of three components: an electronic nose, a database and an AR application integrated with Microsoft HoloLens. After diagnosing an odor, the data is sent wirelessly through a local network to the HMD worn by the user. To validate the technology, four odors have been used, including engine oil, sun lotion, medical alcohol and perfume, to record behaviors and demonstrate the repeatability of the process. The presented technology incorporates sampling methods, cleaning processes and statistical analysis that can be further scrutinized to allow better smell augmentation for diagnosis.","2169-3536","","10.1109/ACCESS.2020.2970220","Engineering and Physical Sciences Research Council(grant numbers:EP/R013950/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8974230","Augmented reality;gas and odor identification;electronic nose prototype;industrial maintenance","Maintenance engineering;Visualization;Haptic interfaces;Resists;Augmented reality;Prototypes;Robot sensing systems","augmented reality;chemioception;computerised instrumentation;electronic noses;holographic optical elements;lenses;maintenance engineering","industrial maintenance;IoT industry;industrial environment;visual virtual information;head-mounted device;HMD;preventive maintenance activities;volatile compounds;olfactory-based identification;maintenance issues;electronic nose;AR application;Microsoft HoloLens;medical alcohol;smell augmentation;olfactory-based augmented reality support;sampling methods;cleaning processes;statistical analysis","","8","","39","CCBY","29 Jan 2020","","","IEEE","IEEE Journals"
"Toward Tactile Internet in Beyond 5G Era: Recent Advances, Current Issues, and Future Directions","S. K. Sharma; I. Woungang; A. Anpalagan; S. Chatzinotas","SnT, University of Luxembourg, Luxembourg City, Luxembourg; Department of Computer Science, Ryerson University, Toronto, Canada; Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada; SnT, University of Luxembourg, Luxembourg City, Luxembourg","IEEE Access","30 Mar 2020","2020","8","","56948","56991","Tactile Internet (TI) is envisioned to create a paradigm shift from the content-oriented communications to steer/control-based communications by enabling real-time transmission of haptic information (i.e., touch, actuation, motion, vibration, surface texture) over Internet in addition to the conventional audiovisual and data traffics. This emerging TI technology, also considered as the next evolution phase of Internet of Things (IoT), is expected to create numerous opportunities for technology markets in a wide variety of applications ranging from teleoperation systems and Augmented/Virtual Reality (AR/VR) to automotive safety and eHealthcare towards addressing the complex problems of human society. However, the realization of TI over wireless media in the upcoming Fifth Generation (5G) and beyond networks creates various non-conventional communication challenges and stringent requirements in terms of ultra-low latency, ultra-high reliability, high data-rate connectivity, resource allocation, multiple access and quality-latency-rate tradeoff. To this end, this paper aims to provide a holistic view on wireless TI along with a thorough review of the existing state-of-the-art, to identify and analyze the involved technical issues, to highlight potential solutions and to propose future research directions. First, starting with the vision of TI and recent advances and a review of related survey/overview articles, we present a generalized framework for wireless TI in the Beyond 5G Era including a TI architecture, the main technical requirements, the key application areas and potential enabling technologies. Subsequently, we provide a comprehensive review of the existing TI works by broadly categorizing them into three main paradigms; namely, haptic communications, wireless AR/VR, and autonomous, intelligent and cooperative mobility systems. Next, potential enabling technologies across physical/Medium Access Control (MAC) and network layers are identified and discussed in detail. Also, security and privacy issues of TI applications are discussed along with some promising enablers. Finally, we present some open research challenges and recommend promising future research directions.","2169-3536","","10.1109/ACCESS.2020.2980369","Natural Sciences and Engineering Research Council of Canada(grant numbers:RGPIN-2017-04423); Ryerson University; European Research Council(grant numbers:742648); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9034103","Tactile internet;IoT;5G;beyond 5G;haptic communications;augmented reality (AR);virtual reality (VR);ultra-reliable and low-latency communications (URLLC)","5G mobile communication;Wireless communication;Reliability;Communication system security;Internet of Things;Haptic interfaces","5G mobile communication;access protocols;computer network reliability;computer network security;cooperative systems;data privacy;haptic interfaces;Internet;Internet of Things;resource allocation;virtual reality","fifth generation network;TI technology;Internet of Things;IoT;resource allocation;multiple access tradeoff;wireless AR;wireless VR;medium access control;network layer identification;security issues;network layers;cooperative mobility systems;intelligent mobility systems;autonomous mobility systems;haptic communications;TI architecture;wireless TI;quality-latency-rate tradeoff;high data-rate connectivity;ultra-high reliability;ultra-low latency;wireless media;complex problems;teleoperation systems;technology markets;surface texture;haptic information;real-time transmission;content-oriented communications;Beyond 5G Era;tactile Internet;TI applications;privacy issues","","83","","226","CCBY","12 Mar 2020","","","IEEE","IEEE Journals"
