Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Index Keywords,Funding Details,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Chengoden R., Victor N., Huynh-The T., Yenduri G., Jhaveri R.H., Alazab M., Bhattacharya S., Hegde P., Maddikunta P.K.R., Gadekallu T.R.","57903496800;56175502600;56024804100;57223040078;55201717100;36661792200;55808089600;57424038400;58109115000;58072593700;","Metaverse for Healthcare: A Survey on Potential Applications, Challenges and Future Directions",2023,"IEEE Access","11",,,"12764","12794",,,"10.1109/ACCESS.2023.3241628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148472517&doi=10.1109%2fACCESS.2023.3241628&partnerID=40&md5=0862b665926d5c2d1c911bb7674a27ff","The rapid progress in digitalization and automation have led to an accelerated growth in healthcare, generating novel models that are creating new channels for rendering treatment at reduced cost. The Metaverse is an emerging technology in the digital space which has huge potential in healthcare, enabling realistic experiences to the patients as well as the medical practitioners. The Metaverse is a confluence of multiple enabling technologies such as artificial intelligence, virtual reality, augmented reality, internet of medical devices, robotics, quantum computing, etc. through which new directions for providing quality healthcare treatment and services can be explored. The amalgamation of these technologies ensures immersive, intimate and personalized patient care. It also provides adaptive intelligent solutions that eliminates the barriers between healthcare providers and receivers. This article provides a comprehensive review of the Metaverse for healthcare, emphasizing on the state of the art, the enabling technologies to adopt the Metaverse for healthcare, the potential applications, and the related projects. The issues in the adaptation of the Metaverse for healthcare applications are also identified and the plausible solutions are highlighted as part of future research directions. © 2013 IEEE.","Augmented reality; Biomedical equipment; Health care; Quantum computers; Cyber security; Digital space; Emerging technologies; Enabling technologies; Healthcare; Medical practitioner; Metaverses; New channels; On potentials; Reduced cost; Virtual reality",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85148472517
"Tricomi P.P., Nenna F., Pajola L., Conti M., Gamberi L.","57219175749;57218995768;57196020265;15019127200;58107530600;","You Can't Hide Behind Your Headset: User Profiling in Augmented and Virtual Reality",2023,"IEEE Access","11",,,"9859","9875",,,"10.1109/ACCESS.2023.3240071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148327782&doi=10.1109%2fACCESS.2023.3240071&partnerID=40&md5=c406ffcdd852899581027dad828fb86f","Augmented and Virtual Reality (AR and VR), collectively known as Extended Reality (XR), are increasingly gaining traction thanks to their technical advancement and the need for remote connections, recently accentuated by the pandemic. Remote surgery, telerobotics, and virtual offices are only some examples of their successes. As users interact with XR, they generate extensive behavioral data usually leveraged for measuring human activity, which could be used for profiling users' identities or personal information (e.g., gender). However, several factors affect the efficiency of profiling, such as the technology employed, the action taken, the mental workload, the presence of bias, and the sensors available. To date, no study has considered all of these factors together and in their entirety, limiting the current understanding of XR profiling. In this work, we provide a comprehensive study on user profiling in virtual technologies (i.e., AR, VR). Specifically, we employ machine learning on behavioral data (i.e., head, controllers, and eye data) to identify users and infer their individual attributes (i.e., age, gender). Toward this end, we propose a general framework that can potentially infer any personal information from any virtual scenarios. We test our framework on eleven generic actions (e.g., walking, searching, pointing) involving low and high mental loads, derived from two distinct use cases: an AR everyday application (34 participants) and VR robot teleoperation (35 participants). Our framework limits the burden of creating technology- and action-dependent algorithms, also reducing the experimental bias evidenced in previous work, providing a simple (yet effective) baseline for future works. We identified users up to 97% F1-score in VR and 80% in AR. Gender and Age inference was also facilitated in VR, reaching up to 82% and 90% F1-score, respectively. Through an in-depth analysis of sensors' impact, we found VR profiling resulting more effective than AR mainly because of the eye sensors' presence. © 2013 IEEE.","E-learning; Machine learning; User profile; Virtual reality; Augmented and virtual realities; Behavioral data; F1 scores; Machine-learning; Metaverses; Personal information; Privacy; Remote surgery; Technical advancement; User's profiling; Augmented reality",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85148327782
"Syed T.A., Jan S., Siddiqui M.S., Alzahrani A., Nadeem A., Ali A., Ullah A.","55204929000;56825229400;23096216800;57197006041;35183741600;57204889396;58000250500;","CAR-Tourist: An Integrity-Preserved Collaborative Augmented Reality Framework-Tourism as a Use-Case",2022,"Applied Sciences (Switzerland)","12","23","12022","","",,1,"10.3390/app122312022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143717675&doi=10.3390%2fapp122312022&partnerID=40&md5=bf7e94bd5b8624e2299e43d96e7e7d76","The unprecedented growth in Augmented Reality (AR) has captured the focus of researchers and the industrial sector. The development of AR applications and their implementation in various domains is broadening. One of the advancements in the field of AR is Collaborative AR, which provides ample opportunities for the members of a team to work on a particular project remotely. The various activities carried out remotely, in a collaborative fashion, are based on the active interaction and transmission of data and applications across a communication channel that constitutes a mesh of frequently interacting applications, thus providing a real feeling of working together physically in the purportedly same demographic area. However, in the integration of different roles, remotely working in collaborative AR has a great chance of being intruded upon and manipulated. Consequently, the intrusion may explore novel vulnerabilities to various sensitive collaborative projects. One of the security concerns for collaborative and interconnected remote applications is to have pristine environments, where the participants of the collaborative AR can reliably trust each other during the execution of the various processes. This paper presents an integrity-aware CAR-Tourist (Collaborative Augmented reality for Tourism) framework wherein the unauthorized user’s access is denied and the remote participants of the network are provided with a secure environment through the state-of-the-art Blockchain architecture. This study further provides a use-case implementation of a tourism application. Each tourist has the chance to hire a remote guide for collaborative guidance over a blockchain-trusted network. Moreover, the proposed framework is lightweight, as the only necessary communication between the tourist and guide is recorded in the blockchain network. Each user has to register on a permission blockchain to be allowed to perform certain activities on our proposed CAR-Tourist framework. The decentralized Blockchain approach provides a consensus mechanism based on which not every participant is free to intrude on ongoing communication. Thus, through the proposed framework, all the participants in the collaborative Augmented Reality will have the essential trust of working remotely without external intrusion. © 2022 by the authors.",,"20/17","English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85143717675
"Wei C., Lin W., Liang S., Chen M., Zheng Y., Liao X., Chen Z.","57740019800;57218916021;57739604300;57739604400;57209103498;57739477100;57034469300;","An All-In-One Multifunctional Touch Sensor with Carbon-Based Gradient Resistance Elements",2022,"Nano-Micro Letters","14","1","131","","",,6,"10.1007/s40820-022-00875-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131894495&doi=10.1007%2fs40820-022-00875-9&partnerID=40&md5=5fb3626c90f50d6f88c6be645fc983cc","Highlights: Carbon-based gradient resistance element structure is proposed for the construction of multifunctional touch sensor, which will promote wide detection and recognition range of multiple mechanical stimulations.Multifunctional touch sensor with gradient resistance element and two electrodes is demonstrated to eliminate signals crosstalk and prevent interference during position sensing for human–machine interactions.Biological sensing interface based on a deep-learning-assisted all-in-one multipoint touch sensor enables users to efficiently interact with virtual world. Abstract: Human–machine interactions using deep-learning methods are important in the research of virtual reality, augmented reality, and metaverse. Such research remains challenging as current interactive sensing interfaces for single-point or multipoint touch input are trapped by massive crossover electrodes, signal crosstalk, propagation delay, and demanding configuration requirements. Here, an all-in-one multipoint touch sensor (AIOM touch sensor) with only two electrodes is reported. The AIOM touch sensor is efficiently constructed by gradient resistance elements, which can highly adapt to diverse application-dependent configurations. Combined with deep learning method, the AIOM touch sensor can be utilized to recognize, learn, and memorize human–machine interactions. A biometric verification system is built based on the AIOM touch sensor, which achieves a high identification accuracy of over 98% and offers a promising hybrid cyber security against password leaking. Diversiform human–machine interactions, including freely playing piano music and programmatically controlling a drone, demonstrate the high stability, rapid response time, and excellent spatiotemporally dynamic resolution of the AIOM touch sensor, which will promote significant development of interactive sensing interfaces between fingertips and virtual objects.[Figure not available: see fulltext.] © 2022, The Author(s).","Augmented reality; Carbon; Deep learning; Electrodes; Functional materials; Hybrid materials; Carbon functional material; Carbon-based; Gradient resistance element; Human machine interaction; Multi-points; Multifunctional touch sensor; Paper based devices; Signal crosstalk; Touch sensors; Two electrodes; Virtual reality","22161142024, U1805261; A18A7b0058","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85131894495
"Wang G., Badal A., Jia X., Maltz J.S., Mueller K., Myers K.J., Niu C., Vannier M., Yan P., Yu Z., Zeng R.","7407148134;22633591000;15132074800;6603895222;55366200700;7202026697;57202950909;24536157600;8346373300;57965768300;8610358700;","Development of metaverse for intelligent healthcare",2022,"Nature Machine Intelligence","4","11",,"922","929",,4,"10.1038/s42256-022-00549-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141902783&doi=10.1038%2fs42256-022-00549-6&partnerID=40&md5=acecc530cf6b8c160e9bab7cd532d12e","The metaverse integrates physical and virtual realities, enabling humans and their avatars to interact in an environment supported by technologies such as high-speed internet, virtual reality, augmented reality, mixed and extended reality, blockchain, digital twins and artificial intelligence (AI), all enriched by effectively unlimited data. The metaverse recently emerged as social media and entertainment platforms, but extension to healthcare could have a profound impact on clinical practice and human health. As a group of academic, industrial, clinical and regulatory researchers, we identify unique opportunities for metaverse approaches in the healthcare domain. A metaverse of ‘medical technology and AI’ (MeTAI) can facilitate the development, prototyping, evaluation, regulation, translation and refinement of AI-based medical practice, especially medical imaging-guided diagnosis and therapy. Here, we present metaverse use cases, including virtual comparative scanning, raw data sharing, augmented regulatory science and metaversed medical intervention. We discuss relevant issues on the ecosystem of the MeTAI metaverse including privacy, security and disparity. We also identify specific action items for coordinated efforts to build the MeTAI metaverse for improved healthcare quality, accessibility, cost-effectiveness and patient satisfaction. © 2022, Springer Nature Limited.","Augmented reality; Biomedical engineering; Diagnosis; Health care; Medical imaging; Virtual reality; Block-chain; Clinical practices; Healthcare domains; High speed internet; Human health; Medical practice; Medical technologies; Metaverses; Social entertainments; Social media; Cost effectiveness","R01CA227289, R01CA233888, R01CA237267, R01CA237269, R01EB026646, R01EB032716, R01HL151561, R37CA214639; ","English",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85141902783
"Dwivedi Y.K., Hughes L., Baabdullah A.M., Ribeiro-Navarrete S., Giannakis M., Al-Debei M.M., Dennehy D., Metri B., Buhalis D., Cheung C.M.K., Conboy K., Doyle R., Dubey R., Dutot V., Felix R., Goyal D.P., Gustafsson A., Hinsch C., Jebabli I., Janssen M., Kim Y.-G., Kim J., Koos S., Kreps D., Kshetri N., Kumar V., Ooi K.-B., Papagiannidis S., Pappas I.O., Polyviou A., Park S.-M., Pandey N., Queiroz M.M., Raman R., Rauschnabel P.A., Shirish A., Sigala M., Spanaki K., Wei-Han Tan G., Tiwari M.K., Viglia G., Wamba S.F.","35239818900;57205405210;57021768700;56676383100;22634489100;35753216500;55787347300;14071708100;6603014980;9434254900;18633741000;57218171817;36991875200;55509654200;57886314600;57812761700;57813352300;47461264600;56274399100;16199813000;35102430200;57211616143;57813352400;56111513900;9633912200;57812360800;14619509700;8848778400;55387371600;55604816600;57188729443;57813546700;56370773200;55808097300;56341892200;56323532000;6602603940;56319265200;57035671700;35427952100;41961835900;14833520200;","Metaverse beyond the hype: Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for research, practice and policy",2022,"International Journal of Information Management","66",,"102542","","",,82,"10.1016/j.ijinfomgt.2022.102542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134587952&doi=10.1016%2fj.ijinfomgt.2022.102542&partnerID=40&md5=838a76d17c1fe1d24c66375173ad5915","The metaverse has the potential to extend the physical world using augmented and virtual reality technologies allowing users to seamlessly interact within real and simulated environments using avatars and holograms. Virtual environments and immersive games (such as, Second Life, Fortnite, Roblox and VRChat) have been described as antecedents of the metaverse and offer some insight to the potential socio-economic impact of a fully functional persistent cross platform metaverse. Separating the hype and “meta…” rebranding from current reality is difficult, as “big tech” paints a picture of the transformative nature of the metaverse and how it will positively impact people in their work, leisure, and social interaction. The potential impact on the way we conduct business, interact with brands and others, and develop shared experiences is likely to be transformational as the distinct lines between physical and digital are likely to be somewhat blurred from current perceptions. However, although the technology and infrastructure does not yet exist to allow the development of new immersive virtual worlds at scale - one that our avatars could transcend across platforms, researchers are increasingly examining the transformative impact of the metaverse. Impacted sectors include marketing, education, healthcare as well as societal effects relating to social interaction factors from widespread adoption, and issues relating to trust, privacy, bias, disinformation, application of law as well as psychological aspects linked to addiction and impact on vulnerable people. This study examines these topics in detail by combining the informed narrative and multi-perspective approach from experts with varied disciplinary backgrounds on many aspects of the metaverse and its transformational impact. The paper concludes by proposing a future research agenda that is valuable for researchers, professionals and policy makers alike. © 2022 The Authors","Economic and social effects; Economics; Interactive computer graphics; Leisure; Virtual reality; Augmented reality technology; Avatar; Extended reality; Immersive; Metaverses; Multidisciplinary perspectives; Physical world; Second Life; Social interactions; Virtual worlds; Augmented reality",,"English",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85134587952
"Gardony A.L., Okano K., Hughes G.I., Kim A.J., Renshaw K.T., Sipolins A.","36570266900;57891197600;57891432400;57891648700;57891648800;57039175300;","Aided target recognition visual design impacts on cognition in simulated augmented reality",2022,"Frontiers in Virtual Reality","3",,"982010","","",,,"10.3389/frvir.2022.982010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138117601&doi=10.3389%2ffrvir.2022.982010&partnerID=40&md5=9d90c6bd23509dfa9279764f5bb49fc2","Aided target recognition (AiTR) systems, implemented in head-mounted and in-vehicle augmented reality (AR) displays, can enhance human performance in military operations. However, the visual appearance and delivery of AiTR may impact other important critical aspects of human performance like decision making and situational awareness (SA). Previous research suggests salient visual AR cueing, such as found in Computer-Aided Detection diagnostic systems, orient attention strongly toward cued targets leading to missed uncued targets, an effect which may be lessened by providing analog information about classification uncertainty and using less visually salient cueing techniques, such as soft highlighting. The objective of this research was to quantify the human performance impacts of two different types of AR AiTR visualizations in a simulated virtual reality defensive security task. Participants engaged in a visual camouflage discrimination task and a secondary SA Task in which participants observed and reported a peripheral human target. Critically, we manipulated the type of AiTR visualization used: 1) a traditional salient bounding box, 2) a softly glowing soft highlight, and 3) a baseline no-AiTR condition. Results revealed minimal impacts of the visual appearance of AiTR on target acquisition, target categorization, and SA but an observable reduction in user experience associated with soft highlight AiTR. Future research is needed to explore novel AiTR designs that effectively cue attention, intuitively and interpretably visualize uncertainty, and deliver acceptable user experience. Copyright © 2022 Gardony, Okano, Hughes, Kim, Renshaw and Sipolins.",,"W911QY-19-02-0003, W911QY-20-C-0078; ","English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85138117601
"Bermúdez I Badia S., Silva P.A., Branco D., Pinto A., Carvalho C., Menezes P., Almeida J., Pilacinski A.","6506360007;23475162000;57520163000;57208733566;56273736900;56592011600;37015443600;56464189400;","Virtual Reality for Safe Testing and Development in Collaborative Robotics: Challenges and Perspectives",2022,"Electronics (Switzerland)","11","11","1726","","",,7,"10.3390/electronics11111726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130997917&doi=10.3390%2felectronics11111726&partnerID=40&md5=5b2d04914c78ae97c7c1188d55bc79d7","Collaborative robots (cobots) could help humans in tasks that are mundane, dangerous or where direct human contact carries risk. Yet, the collaboration between humans and robots is severely limited by the aspects of the safety and comfort of human operators. In this paper, we outline the use of extended reality (XR) as a way to test and develop collaboration with robots. We focus on virtual reality (VR) in simulating collaboration scenarios and the use of cobot digital twins. This is specifically useful in situations that are difficult or even impossible to safely test in real life, such as dangerous scenarios. We describe using XR simulations as a means to evaluate collaboration with robots without putting humans at harm. We show how an XR setting enables combining human behavioral data, subjective self-reports, and biosignals signifying human comfort, stress and cognitive load during collaboration. Several works demonstrate XR can be used to train human operators and provide them with augmented reality (AR) interfaces to enhance their performance with robots. We also provide a first attempt at what could become the basis for a human–robot collaboration testing framework, specifically for designing and testing factors affecting human– robot collaboration. The use of XR has the potential to change the way we design and test cobots, and train cobot operators, in a range of applications: from industry, through healthcare, to space operations. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",,"802553; PTDC/MHC-PCN/6805/2014; 2021.05646, PEest/UID/CEC/04516/2019","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85130997917
"Zhang J., Dong Z., Bai X., Lindeman R.W., He W., Piumsomboon T.","57218772610;57218770900;57777250100;7006360047;7402007775;54885265000;","Augmented Perception Through Spatial Scale Manipulation in Virtual Reality for Enhanced Empathy in Design-Related Tasks",2022,"Frontiers in Virtual Reality","3",,"672537","","",,1,"10.3389/frvir.2022.672537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138043170&doi=10.3389%2ffrvir.2022.672537&partnerID=40&md5=4983a750049d288838b3d13f26b12074","This research explores augmented perception by investigating the effects of spatial scale manipulation in Virtual Reality (VR) to simulate multiple levels of virtual eye height (EH) and virtual interpupillary distance (IPD) of the VR users in the design context. We have developed a multiscale VR system for design applications, which supports a dynamic scaling of the VR user’s EH and IPD to simulate different perspectives of multiple user’s groups such as children or persons with disabilities. We strongly believe that VR can improve the empathy of VR users toward the individual sharing or simulating the experience. We conducted a user study comprising two within-subjects designed experiments for design-related tasks with seventeen participants who took on a designer’s role. In the first experiment, the participants performed hazards identification and risks assessment tasks in a virtual environment (VE) while experiencing four different end-user perspectives: a two-year-old child, an eight-year-old child, an adult, and an adult in a wheelchair. We hypothesized that experiencing different perspectives would lead to different design outcomes and found significant differences in the perceived level of risks, the number of identified hazards, and the average height of hazards found. The second experiment had the participants scale six virtual chairs to a suitable scale for different target end-user groups. The participants experienced three perspectives: a two-year-old child, an eight-year-old child, and an adult. We found that when the designer’s perspective matched that of the intended end-user of the product, it yielded significantly lower variance among the designs across participants and more precise scales suitable for the end-user. We also found that the EH and IPD positively correlate with the resulting scales. The key contribution of this work is the evidence to support that spatial scale manipulation of EH and IPD could be a critical tool in the design process to improve the designer’s empathy by allowing them to experience the end-user perspectives. This could influence their design, making a safer or functionally suitable design for various end-user groups with different needs. Copyright © 2022 Zhang, Dong, Bai, Lindeman, He and Piumsomboon.",,"61850410532","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85138043170
"Mehta R.K., Moats J., Karthikeyan R., Gabbard J.L., Srinivasan D., Du E.J., Leonessa A., Burks G., Stephenson A., Fernandes R.","55413685300;35088462500;57207449336;6603313947;55190345500;57678903500;7003758699;57193688321;57202911881;57190591240;","Human-centered intelligent training for emergency responders",2022,"AI Magazine","43","1",,"83","92",,,"10.1002/aaai.12041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134159776&doi=10.1002%2faaai.12041&partnerID=40&md5=34ae3b2f147ae02cd167cce22edd52d0","Emergency response (ER) workers perform extremely demanding physical and cognitive tasks that can result in serious injuries and loss of life. Human augmentation technologies have the potential to enhance physical and cognitive work-capacities, thereby dramatically transforming the landscape of ER work, reducing injury risk, improving ER, as well as helping attract and retain skilled ER workers. This opportunity has been significantly hindered by the lack of high-quality training for ER workers that effectively integrates innovative and intelligent augmentation solutions. Hence, new ER learning environments are needed that are adaptive, affordable, accessible, and continually available for reskilling the ER workforce as technological capabilities continue to improve. This article presents the research considerations in the design and integration of use-inspired exoskeletons and augmented reality technologies in ER processes and the identification of unique cognitive and motor learning needs of each of these technologies in context-independent and ER-relevant scenarios. We propose a human-centered artificial intelligence (AI) enabled training framework for these technologies in ER. Finally, how these human-centered training requirements for nascent technologies are integrated in an intelligent tutoring system that delivers across tiered access levels, covering the range of virtual, to mixed, to physical reality environments, is discussed. © 2022 The Authors. AI Magazine published by Wiley Periodicals LLC on behalf of the Association for the Advancement of Artificial Intelligence.","Computer aided instruction; Emergency services; Engineering education; Exoskeleton (Robotics); Personnel training; Virtual reality; Cognitive task; Cognitive work; Emergency responders; Emergency response; Injury risk; Loss of life; Physical work; Serious injuries; Work capacities; Workers'; Augmented reality",,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85134159776
